date,time,title,sentiment,label,news_num
28-Nov-25,03:36:08,เครือเจริญโภคภัณฑ์จัดอบรมหลักสูตร “Advance Investigation” เสริมแกร่งทักษะการสืบสวนสอบสวนภายในองค์กร - wearecp,0.9,positive,1
28-Nov-25,03:54:00,CP AXTRA and CJ Logistics Form Strategic to Advance Thailand’s Retail Supply Chain and Accelerate Regional Growth - ThaiPR.NET,0.0,neutral,2
28-Nov-25,06:08:00,“ปูนซีเมนต์นครหลวง” รับมอบ 17 ฉลากเขียว และประกาศนียบัตร Eco Advance - แนวหน้า,0.0,neutral,3
15-Sep-25,01:21:59,เข้าร่วมภารกิจ Grab Advance Booking ร่วมรับสิทธิ์ไปเที่ยวภูเก็ตกับออม กรณ์นภัส - Grab,0.0,neutral,4
02-Nov-25,07:00:00,GULF ยื่นทำคำเสนอซื้อขาย INTUCH- ADVANCE - Marketeer Online,0.0,neutral,5
30-Sep-25,07:00:00,บทพิสูจน์ฝีมือ ! เพิ่มทักษะขั้นสูง Spirit 4x4 Advance - autoinfo.co.th,0.0,neutral,6
13-Jun-25,07:00:00,งานประชุมวิชาการเชิงปฏิบัติการ Extracorporeal Membrane Oxygenation Advance Course 2024 - โรงพยาบาลจุฬาลงกรณ์ สภากาชาดไทย,0.0,neutral,7
14-Oct-25,11:01:11,Advance Wars 1+2 Re-Boot Camp: เกมวางแผนกลยุทธ์ทางทหารที่มีให้เล่นบน Nintendo Switch - Sortir à Paris,0.0,neutral,8
12-Nov-25,04:48:00,Vietjet Thailand Partners with OR to Advance Clean Energy in Aviation Industry Promoting the use of SAF on commercial flights - newswit,0.0,neutral,9
23-Nov-25,12:46:36,"Vancouver Whitecaps 2-2 Los Angeles FC (aet, 4-3 pens): Nine-man hosts advance as Son misses in shoot-out - FotMob",0.0,neutral,10
09-Jun-25,07:00:00,DSI and Cambodian Police Advance Bilateral Talks on Human Trafficking SOPs Strengthening Cross-Border Cooperation Mechanisms - กรมสอบสวนคดีพิเศษ,0.0,neutral,11
12-Sep-25,12:00:22,สุดเจ๋ง!! สำนักงานปลัดกระทรวงแรงงาน คว้ารางวัลเลิศรัฐ ปี 2568 รางวัลคุณภาพการบริหารจัดการภาครัฐ 4.0 ระดับก้าวหน้า (Advance) - กระทรวงแรงงาน,0.0,neutral,12
11-Jun-25,07:00:00,HONOR 400 Series สมาร์ตโฟนเสริมพลังกล้อง AI ดีไซน์พรีเมียม พร้อมเปิดตัว 16 มิ.ย. นี้ จากมือใหม่สู่สายโปร! - Thaimobilecenter,0.0,neutral,13
21-Nov-25,06:20:02,SCB 10X Co-Leads Hearvana’s $6 Million Pre-Seed Round to Advance Superhuman Auditory Intelligence for AI Assistants and Humans - ThaiPR.NET,0.0,neutral,14
19-Nov-25,07:54:15,HSRI and AstraZeneca Sign an MOU to Advance Clinical Research in MoPH Hospitals Nationwide - ThaiPR.NET,0.0,neutral,15
19-Nov-25,03:53:00,"KBank partners with EDEX to promote studying in the United Kingdom, aiming to advance sustainability in all dimensions - ThaiPR.NET",0.0,neutral,16
02-Sep-25,07:00:00,SCBX Joins MIT’s FinTechAI@CSAIL as a Founding Member to Advance Global Innovation in AI for Finance - มิติหุ้น,0.0,neutral,17
19-May-25,07:00:00,วิธีได้พื้นที่และ Gemini Advance ฟรี 6 เดือนในมือถือ Galaxy S25 ที่หลายคนไม่รู้ - Sanook.com,0.0,neutral,18
02-Nov-25,07:00:00,GULF เสนอซื้อหุ้นสามัญทั้งหมดของ INTUCH ในรูปแบบ Conditional Voluntary Tender Offer - Marketeer Online,0.4,positive,19
15-Aug-25,09:34:48,SPU Revives Unused Spaces to Advance SDGs through Brownfield Development - spu.ac.th,0.0,neutral,20
