date,time,title,sentiment,label,news_num
20-Nov-25,10:42:33,ยิ่งใหญ่ระดับโลก! AIS PLAY จับมือ Prime Video ระเบิดความมันส์ ชม NBA เต็มอิ่มครบ 290 แมตช์! ด้วยแพ็กเกจ NBA 2025-26 เพียง 249 บาทต่อเดือน - มิติหุ้น | ชี้ชัดทุกการลงทุน - มิติหุ้น,0.0,neutral,1
17-Nov-25,08:00:00,"ตลาดเน็ตบ้านไทยปี 2025 แตะ 80,000 ล้าน AIS – 3BB Fibre 3 ชูพรีเมียร์ลีกชิงส่วนแบ่ง - Marketeer Online",0.0,neutral,2
20-Nov-25,06:11:23,AIS ผนึก สำนักงานสาธารณสุขจังหวัดสมุทรสาคร และสมาคมพราว สร้างชุมชนอุ่นใจ มี อสต. ใกล้คุณ ยกระดับคุณภาพชีวิตแรงงานต่างชาติ ด้วยเทคโนโลยีดิจิทัล - ThaiPost,0.0,neutral,3
19-Nov-25,11:15:02,AIS คว้ารางวัลจาก GSMA Digital Nation Awards 2025 ชูการเป็นผู้นำด้าน Cognitive Tech-Co . AIS คว้ารางวัล Excellence in Innovation VDO Award จากเวที GSMA Digital Nation Awards 2025 รางวัลระดับโลกที่ยกย่องโครงการนวัตกรรมโดดเด่นขององค์กรธุรกิจ ซึ่งสามารถนำมาส - facebook.com,0.0,neutral,4
17-Nov-25,08:34:50,AIS PLAY หั่นราคา Disney+ รายปีเหลือ 999 บาท - Thunhoon,0.0,neutral,5
19-Nov-25,11:22:30,AIS PLAY จับมือ ATP Media ถ่ายทอดสด ATP Tour ครบ 59 รายการ ตลอดฤดูกาล 2026 - thestandard.co,0.0,neutral,6
19-Nov-25,04:33:57,AIS คว้ารางวัลระดับโลก สะท้อน ! ยืน 1 เครือข่ายอัจฉริยะ - Hoonsmart,0.0,neutral,7
19-Nov-25,19:00:43,AIS PLAY ยิงสดดาร์บี้แมตช์เอ็นเอฟซี ตะวันออก ดัลลาสเปิดบ้านรับมืออีเกิลส์ - Matichon Online,0.0,neutral,8
20-Nov-25,11:48:42,เน็ต ais ราย วัน พร้อม โทร ฟรี 🍾 สนุกกับเครดิตฟรีและการทดลองใช้ฟรีที่คาสิโนที่ใหญ่ที่สุดและรับเครดิตฟรีจากความสนุกของคาสิโนด้วยเงินจริงร่วมสนุกกับคาสิโนด้วยเงินจริงที่ดีที่สุดของประเทศไทยในปี 2568 พร้อมเครดิตฟรีและทดลองใช้ฟรีที่คาสิโนที่ใหญ่ที่สุด มาร่วมกับเราในการเดินทางที่พ - Portal Imbiara,0.8,positive,9
20-Nov-25,03:02:16,AIS จับมือ สาธารณสุขสมุทรสาคร พัฒนา อสต. ยกระดับชีวิตแรงงานต่างชาติด้วยดิจิทัล - TechOffside,0.0,neutral,10
19-Nov-25,11:15:02,AIS คว้ารางวัลจาก GSMA Digital Nation Awards 2025 ชูการเป็นผู้นำด้าน Cognitive Tech-Co . AIS คว้ารางวัล Excellence in Innovation VDO Award จากเวที GSMA Digital Nation Awards 2025 รางวัลระดับโลกที่ยกย่องโครงการนวัตกรรมโดดเด่นขององค์กรธุรกิจ ซึ่งสามารถนำมาส - facebook.com,0.0,neutral,11
