date,time,title,sentiment,label,news_num
27-Nov-25,06:19:39,ส่องพื้นฐาน เทคนิคลงทุน CPALL-PTTEP - Thunhoon,0.5,positive,1
26-Nov-25,09:01:54,PTTEP wins three prestigious awards at the IAA Awards 2025 - Energy News Center,0.0,neutral,2
27-Nov-25,06:21:13,ส่องพื้นฐาน เทคนิคลงทุน CPALL-PTTEP - facebook.com,0.5,positive,3
24-Nov-25,10:03:32,วันนี้มีบิ๊กล็อต 12 หลักทรัพย์ PTTEP ซื้อขายสูงสุด 53.28 ลบ. - efinanceThai,0.0,neutral,4
24-Nov-25,10:45:34,สรุปกระดานรายใหญ่วันนี้ PTTEP มูลค่าสูงสุด 53.28 ล้านบาท - ข่าวหุ้นธุรกิจออนไลน์,0.0,neutral,5
12-Nov-25,08:00:00,'PTTEP-GPSC' ส่งสัญญาณปี 69 โตต่อ! M&A ดันกำไร-ปันผลสวย - posttoday,0.8,positive,6
30-Oct-25,07:25:28,PTTEP กำไรวูบ 28 % ไตรมาส3 ที่ 1.2 หมื่นล้าน ผลจากราคาขายลดลงและค่าใช้จ่ายเพิ่มขึ้น - bangkokbiznews,0.10000000000000003,positive,7
07-Oct-25,07:00:00,7 โบรกส่องหุ้น PTTEP การผลิตที่เพิ่ม-ชูปันผลน่าสนใจ - HoonVision | หุ้นวิชั่น - หุ้น ข่าวหุ้น หุ้นไทยวันนี้ หุ้นวันนี้ หุ้นเด่น วิเคราะห์หุ้น ธุรกิจ การเงิน เศรษฐกิจ การลงทุน ดัชนีราคาหุ้น - HoonVision,0.0,neutral,8
03-Nov-25,06:24:13,"PTTEP ประเด็นสำคัญจากการบรรยายสรุปนักวิเคราะห์ใน 3Q25 แนะนำ ""ซื้อ"" ราคาเป้าหมาย 134 บาท - Share2Trade",0.4,positive,9
03-Nov-25,05:37:14,PTTEP โบรกฯ ชี้กำไรอาจหดตัว แต่ปันผลยังน่าสน เคาะเป้าใหม่ 125 บ. - Thunhoon,0.8,positive,10
27-Nov-25,06:20:06,ส่องพื้นฐาน เทคนิคลงทุน CPALL-PTTEP - facebook.com,0.5,positive,11
30-Aug-25,07:00:00,"""กองทุนวายุภักษ์หนึ่ง"" ตุน PTTEP เดือนส.ค.พบถือเพิ่ม 14.95 ล้านหุ้น ขึ้นแท่นผู้ถือหุ้นใหญ่อันดับ 4 - Share2Trade",0.0,neutral,12
30-Oct-25,08:51:26,2 โบรกฯ จับทิศลงทุน PTTEP หลังประกาศงบ Q3/68 - Thunhoon,0.5,positive,13
24-Oct-25,07:00:00,PTTEP ส่องหุ้นร้อน 24 ต.ค. 68 - Share2Trade,0.0,neutral,14
24-Sep-25,07:00:00,8 หุ้นพลังงาน-โรงกลั่นกอดคอบวก PTTEP นำกลุ่ม 3.96% รับราคาน้ำมันโลกพุ่งสูงสุดในรอบ 5 วัน . ความเคลื่อนไหวตลาดหุ้นไทย ณ วันที่ 25 ก.ย.2568 เวลา 11.00 น. หุ้นกลุ่มพลังงานและโรงกลั่นปรับตัวเพิ่มขึ้น นำโดย . หุ้น PTTEP บวก 3.96% เพิ่มขึ้น 4.50 บาท ระดับราคาอยู่ที่ 118.00 บาท - facebook.com,0.9,positive,15
06-Nov-25,05:59:54,ส่องพื้นฐาน เทคนิคลงทุน CPAXT-PTTEP - Thunhoon,0.5,positive,16
22-Oct-25,06:39:05,ส่องพื้นฐาน เทคนิคลงทุน CPN-PTTEP - Thunhoon,0.5,positive,17
30-Oct-25,07:00:00,"PTTEP ประกาศงบ Q3/68 พรุ่งนี้ โบรกฯคาด 1.36-1.45 หมื่นลบ., มองปันผลน่าสนใจ - Thunhoon",0.0,neutral,18
30-Oct-25,01:02:53,PTTEPโชว์กำไรQ3วันนี้ ลุ้นแตะ1.4หมื่นล. - Thunhoon,0.8,positive,19
31-Oct-25,07:00:00,PTTEP ชูกำลังผลิตในปท. ปริมาณขายทั้งปีเติบโต - Thunhoon,0.30000000000000004,positive,20
