date,time,title,sentiment,label,news_num
27-Nov-25,06:30:26,SCB ผนึกกำลัง VISA สร้างประสบการณ์ครั้งหนึ่งในชีวิต ช้อปผ่านบัตร SCB PLANET VISA - RYT9,0.0,neutral,1
27-Nov-25,06:59:00,SCB WEALTH พาฝ่าคลื่นความผันผวน “Storm Shift” กับงานฟอรั่มส่งท้ายปี - Sanook.com,0.0,neutral,2
27-Nov-25,08:35:05,รู้จัก Typhoon Isan โมเดล AI ที่เว่าอีสานได้จาก SCB 10X อนาคตอยากเข้าใจภาษาทุกภาค - Brand Inside,0.0,neutral,3
28-Nov-25,02:21:10,SCB Financial Markets คาดกรอบเงินบาท 32.10-32.35 บ./ดอลลาร์ - ข่าวหุ้นธุรกิจออนไลน์,0.0,neutral,4
28-Nov-25,04:46:32,SCB EIC ขยับ GDP ไทยปี 68 ขึ้นเป็น 2.1% รับแรงหนุนส่งออก-มาตรการรัฐ แต่ปี 69 โตต่ำ 1.5% ยังเปราะบาง - สำนักข่าวอินโฟเควสท์,0.0,neutral,5
28-Nov-25,02:18:55,SCB ค่าเงินบาทประจำวันที่ 28 พฤศจิกายน 2568 - มิติหุ้น,0.0,neutral,6
27-Nov-25,11:06:47,SCB 10X เปิดตัว “Typhoon Isan” AI ถอดเสียง-สะกดคำภาษาอีสาน - ประชาชาติธุรกิจ,0.0,neutral,7
28-Nov-25,04:50:26,SCB EIC คาด กนง. หั่นดอกเบี้ยในเดือนธ.ค.นี้ และเหลือ 1% ภายในกลางปี 69 - LINE TODAY,0.0,neutral,8
27-Nov-25,08:21:35,SCB EIC ชี้การลงทุนยุคใหม่ ต้องเร่งปรับตัวรับความเสี่ยง-โอกาส - Thunhoon,0.0,neutral,9
28-Nov-25,01:26:54,SCB 10X เปิดตัว “Typhoon Isan” AI โมเดล ASR ภาษาอีสาน ตั้งเป้าพัฒนา AI ที่เข้าใจภาษาทุกถิ่น - Brand Buffet,0.0,neutral,10
28-Nov-25,04:26:00,SCB 10X เปิดตัว Typhoon Isan เอไอถอดเสียงภาษาอีสาน แบบโอเพนซอร์สครั้งแรกในไทย - bangkokbiznews,0.0,neutral,11
27-Nov-25,06:17:00,SCB ผนึกกำลัง VISA สร้างประสบการณ์ครั้งหนึ่งในชีวิต ช้อปผ่านบัตร SCB PLANET VISA ลุ้นเชียร์รอบชิงชนะเลิศที่อเมริกา FIFA WORLD CUP 2026 รวมมูลค่ากว่า 2.9 ล้านบาท - ThaiPR.NET,0.0,neutral,12
28-Nov-25,04:44:43,SCB 10X เปิดตัว Typhoon Isan เอไอถอดเสียงภาษาอีสาน แบบโอเพนซอร์สครั้งแรกในไทย - MSN,0.0,neutral,13
24-Nov-25,10:39:30,KTB-SCB ซ่อนมูลค่า เงินปันผลค้ำเสี่ยงต่ำ - HoonVision | หุ้นวิชั่น - หุ้น ข่าวหุ้น หุ้นไทยวันนี้ หุ้นวันนี้ หุ้นเด่น วิเคราะห์หุ้น ธุรกิจ การเงิน เศรษฐกิจ การลงทุน ดัชนีราคาหุ้น - HoonVision,-0.7,negative,14
28-Nov-25,04:46:27,SCB EIC ปรับเพิ่มการขยายตัวเศรษฐกิจไทยปี 2568 โต 2.1% ได้แรงหนุนส่งออกและมาตรการกระตุ้นภาครัฐ มองเศรษฐกิจปี 2569 ขยายตัวต่ำ 1.5% ผลกระทบภาษีสหรัฐฯ จะชัดเจนขึ้นท่ามกลางความเปราะบางในประเทศที่ยังมีอยู่มาก - มิติหุ้น | ชี้ชัดทุกการลงทุน - มิติหุ้น,0.0,neutral,15
27-Nov-25,13:26:38,SCB WEALTH ฝ่าคลื่นความผันผวน ชี้ทางพิชิตพายุเศรษฐกิจ - มิติหุ้น,0.0,neutral,16
27-Nov-25,02:10:39,กลุ่มงานตลาดการเงิน ธนาคารไทยพาณิชย์ (SCB Financial Markets) ค่าเงินบาทประจำวันที่ 27 พฤศจิกายน 2568 - มิติหุ้น,0.0,neutral,17
26-Nov-25,02:16:30,SCB ค่าเงินบาทประจำวันที่ 26 พฤศจิกายน 2568 - มิติหุ้น,0.0,neutral,18
27-Nov-25,04:42:39,SCB WEALTH Navigates the “Storm Shift” at Year-End Forum Uniting Leading Thai and Global Experts to Chart a Path Toward Sustainable Wealth Amid Economic Turbulence - มิติหุ้น,0.0,neutral,19
19-Aug-25,07:00:00,เปิดตัวสติกเกอร์ไลน์ “SCB Connect x Chalotte” - ธนาคารไทยพาณิชย์,0.0,neutral,20
