date,time,title,sentiment,label,news_num
28-Nov-25,03:53:00,ทิสโก้ เปิดตัวแคมเปญ “Family First” ภายใต้แนวคิด “ครอบครัวเรา…ไม่ธรรมดา” จุดประกายคนไทยวางแผนความคุ้มครองอย่างรอบด้าน - ThaiPR.NET,0.0,neutral,1
27-Nov-25,10:59:48,TISCO – XO คว้า Best CEO Awards - HoonVision | หุ้นวิชั่น - หุ้น ข่าวหุ้น หุ้นไทยวันนี้ หุ้นวันนี้ หุ้นเด่น วิเคราะห์หุ้น ธุรกิจ การเงิน เศรษฐกิจ การลงทุน ดัชนีราคาหุ้น - HoonVision,0.0,neutral,2
27-Nov-25,09:55:48,TISCO-XO คว้า Best CEO Awards พร้อม 38 บจ. ต้นแบบความยั่งยืน - facebook.com,0.0,neutral,3
28-Nov-25,03:25:00,TISCO and XO win Best CEO Awards along with 38 listed companies as sustainability models - newswit,0.0,neutral,4
27-Nov-25,11:58:00,TISCO - XO คว้า Best CEO Awards พร้อม 38 บจ. ต้นแบบความยั่งยืน SET Awards 2568 - posttoday,0.0,neutral,5
28-Nov-25,05:09:12,“กัณฑรา” ชี้จับตาการเมือง-นโยบาย “กนง.” แนะสะสม ADVANC–TISCO–GULF - ข่าวหุ้นธุรกิจออนไลน์,0.0,neutral,6
26-Nov-25,00:45:37,TISCO ESU ชี้ความไม่แน่นอนทางการเมืองยังเป็นความเสี่ยงสำคัญ หวั่นมาซ้ำเติมทำเศรษฐกิจไทยเปราะบางหนัก - thestandard.co,0.0,neutral,7
24-Nov-25,08:01:43,ธ.ทิสโก้ เปิดสูตรลดหย่อนภาษี ฉบับมนุษย์เงินเดือน วางแผนเกษียณ - Thunhoon,0.0,neutral,8
27-Nov-25,07:21:00,เศรษฐกิจไทยเปราะบางหนัก TISCOเตือนปี69 ฟื้นยาก Fast-pass ความหวังเดียว - amarin tv,0.0,neutral,9
25-Nov-25,03:23:32,TISCO ESU : เศรษฐกิจสหรัฐฯ ยังคงอยู่ในภาวะของการฟื้นตัวอย่างไม่เท่าเทียม หรือ “K-Shape Economy” ระหว่างตลาดหุ้นและเศรษฐกิจจริง แม้จะผ่านพ้นวิกฤตโควิดมาร่วม 5 ปีแล้วก็ตาม - มิติหุ้น | ชี้ชัดทุกการลงทุน - มิติหุ้น,-1.0,negative,10
27-Nov-25,10:24:56,ซีอีโอ TISCO - XO คว้ารางวัล Best CEO งาน SET Awards ปี 68 - efinanceThai,0.0,neutral,11
16-Jul-25,07:00:00,2 โบรกฯ รุม! TISCO แนะ “ขาย” เหตุมูลค่า “แพง” ชี้มีหุ้นแบงก์อื่นปันผลดีกว่า - Share2Trade,-0.35,negative,12
26-Nov-25,03:17:38,TISCO ESU ชี้ส่งออกเดือน ต.ค. ชะลอตัวลงมาที่ 5.7% YoY สอดคล้องกับทิศทางการส่งออกของประเทศในภูมิภาคเดียวกัน โดยสินค้าในกลุ่มอิเล็กทรอนิกส์ยังคงเป็นแรงขับเคลื่อนหลักของการส่งออก - มิติหุ้น | ชี้ชัดทุกการลงทุน - มิติหุ้น,0.0,neutral,13
15-Oct-25,04:29:44,TISCO ราคาหุ้นพุ่ง +3.88% แตะ 107.00 บาท กำไร Q3/68 ดีกว่าคาด NPL ลดลง-NIM เพิ่มขึ้น - Thunhoon,0.3666666666666667,positive,14
14-Oct-25,07:00:00,9 หุ้นกลุ่มแบงก์กอดคอบวก TISCO นำกลุ่ม 3.40% โบรกเผยกำไรดีกว่าคาด-ปันผลสูง . ความเคลื่อนไหวตลาดหุ้นไทยภาคเช้า ณ วันที่ 15 ต.ค.2568 เวลา 10.05 น. หุ้นกลุ่มธนาคารปรับบวก นำโดย . หุ้น TISCO บวก 3.40% เพิ่มขึ้น 3.50 บาท ระดับราคาอยู่ที่ 106.50 บาท หุ้น KKP บวก 2.46% - facebook.com,0.8,positive,15
28-Nov-25,03:28:00,ศักดิ์ชัย พีชะพัฒน์ คว้า BEST CEO ต่อเนื่อง 2 ปีซ้อน พร้อมนำกลุ่มทิสโก้ รับอีก 3 รางวัลใหญ่เวที SET Awards 2025 - ThaiPR.NET,0.0,neutral,16
25-Sep-25,07:00:00,บอร์ด TISCO ไฟเขียวปันผล 2.00 บาท/หุ้น กำหนดจ่าย 25 ก.ย. - Thunhoon,0.0,neutral,17
14-Jul-25,07:00:00,จับตาพรุ่งนี้ TISCO เปิดงบ Q2/68 โบรกฯ คาดมีกำไร 1.56 พันลบ.ดิ่ง 11% ลุ้นปันผลระหว่างกาล 2.0 บาท/หุ้น - Share2Trade,-0.04999999999999999,neutral,18
15-Oct-25,07:00:00,“ดิว วีรวัฒน์” จ่อรับทรัพย์ เงินปันผล TISCO อีกกว่า 53 ล้านบาท หลังโบรกฯ คาดครึ่งหลังแจก 4.80 บาท - Share2Trade,0.0,neutral,19
20-Jun-25,08:22:34,ประกันชีวิต ลดหย่อนภาษี | ธนาคารทิสโก้ จำกัด (มหาชน) - tisco.co.th,0.0,neutral,20
