date,time,title,sentiment,label,news_num
28-Nov-25,03:53:00,ทิสโก้ เปิดตัวแคมเปญ “Family First” ภายใต้แนวคิด “ครอบครัวเรา…ไม่ธรรมดา” จุดประกายคนไทยวางแผนความคุ้มครองอย่างรอบด้าน - ThaiPR.NET,0.0,neutral,1
24-Nov-25,08:01:43,ธ.ทิสโก้ เปิดสูตรลดหย่อนภาษี ฉบับมนุษย์เงินเดือน วางแผนเกษียณ - Thunhoon,0.0,neutral,2
27-Nov-25,10:59:48,TISCO – XO คว้า Best CEO Awards - HoonVision | หุ้นวิชั่น - หุ้น ข่าวหุ้น หุ้นไทยวันนี้ หุ้นวันนี้ หุ้นเด่น วิเคราะห์หุ้น ธุรกิจ การเงิน เศรษฐกิจ การลงทุน ดัชนีราคาหุ้น - HoonVision,0.0,neutral,3
26-Nov-25,00:45:37,TISCO ESU ชี้ความไม่แน่นอนทางการเมืองยังเป็นความเสี่ยงสำคัญ หวั่นมาซ้ำเติมทำเศรษฐกิจไทยเปราะบางหนัก - thestandard.co,0.0,neutral,4
27-Nov-25,11:58:00,TISCO - XO คว้า Best CEO Awards พร้อม 38 บจ. ต้นแบบความยั่งยืน SET Awards 2568 - posttoday,0.0,neutral,5
14-Oct-25,07:00:00,กลุ่มทิสโก้ แจ้งผลประกอบการ ไตรมาส 3 ปี 2568 - tisco.co.th,0.0,neutral,6
24-Nov-25,08:02:01,ธ.ทิสโก้ เปิดสูตรลดหย่อนภาษี ฉบับมนุษย์เงินเดือน วางแผนเกษียณ - facebook.com,0.0,neutral,7
28-Nov-25,03:28:00,ศักดิ์ชัย พีชะพัฒน์ คว้า BEST CEO ต่อเนื่อง 2 ปีซ้อน พร้อมนำกลุ่มทิสโก้ รับอีก 3 รางวัลใหญ่เวที SET Awards 2025 - ThaiPR.NET,0.0,neutral,8
27-Nov-25,10:24:56,ซีอีโอ TISCO - XO คว้ารางวัล Best CEO งาน SET Awards ปี 68 - efinanceThai,0.0,neutral,9
27-Nov-25,07:21:00,เศรษฐกิจไทยเปราะบางหนัก TISCOเตือนปี69 ฟื้นยาก Fast-pass ความหวังเดียว - amarin tv,0.0,neutral,10
30-Aug-25,20:13:09,แจ้งปิดทำการสาขาชั่วคราว - tisco.co.th,0.0,neutral,11
27-Nov-25,06:02:39,“IRPC” มุมมองทิสโก้ ขายสินทรัพย์-หุ้น WHAIER - Thunhoon,-0.3,negative,12
24-Nov-25,08:02:01,ธ.ทิสโก้ เปิดสูตรลดหย่อนภาษี ฉบับมนุษย์เงินเดือน วางแผนเกษียณ - facebook.com,0.0,neutral,13
10-Sep-25,07:00:00,ธนาคารทิสโก้ ผนึกกำลัง CarFinn & Bolt - tisco.co.th,0.0,neutral,14
15-Jul-25,07:00:00,กลุ่มทิสโก้ เผยผลประกอบการไตรมาส 2/2568 - tisco.co.th,0.0,neutral,15
20-Jun-25,08:22:34,ประกันชีวิต ลดหย่อนภาษี | ธนาคารทิสโก้ จำกัด (มหาชน) - tisco.co.th,0.0,neutral,16
17-Apr-25,07:00:00,กลุ่มทิสโก้ แจ้งผลประกอบการไตรมาส 1/2568 - tisco.co.th,0.0,neutral,17
25-Sep-25,07:00:00,กลุ่มทิสโก้มอบแท็บเล็ตขยายโอกาสการเรียนรู้ ร.ร.บ้านโนนบอน - tisco.co.th,0.0,neutral,18
08-Aug-25,09:02:12,ช่องทางรับแจ้งเบาะแส - tisco.co.th,0.0,neutral,19
18-Nov-25,07:42:00,ธ.ทิสโก้ปลื้ม คนแห่ร่วม “TISCO Healthcare Fair 2025” กางแผน ปี 2569 ลุยจัดกิจกรรมด้านสุขภาพให้ลูกค้ากลุ่มทิสโก้ - ThaiPR.NET,0.0,neutral,20
